"	部门","	员工编码","	员工姓名","	打卡时间","	当前班次","	该班次的上下班时间","	当前楼层","	门禁名称","	状态","	地点"
"	人力资源部","	21033887","	张三","	2022-06-30 15:42:45","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-30 15:39:26","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-30 08:43:48","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-29 15:15:19","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-06-29 12:27:12","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-29 12:25:04","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-06-29 08:40:53","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-28 17:52:24","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-28 15:25:52","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-28 15:23:10","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-28 15:21:46","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-28 08:35:31","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-27 18:51:44","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-27 15:37:21","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-27 08:26:28","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-24 18:03:19","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-24 17:58:36","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-24 11:49:06","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-24 11:43:43","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-24 08:56:16","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-23 19:32:32","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-23 17:47:23","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-23 17:36:39","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-23 17:35:40","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-23 17:30:19","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
